Name,GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
Michael Wacha,43.2,27.7,68.7,67.3,84.6,42.6,9.7,53.0,20.0,10.1,1419,84.1
Mike Fiers,39.5,30.4,65.7,70.0,87.5,45.3,8.7,66.0,19.0,4.8,2122,137.1
Johnny Cueto,43.5,28.0,70.8,67.7,86.7,41.4,9.2,63.6,17.8,6.1,794,53
Anibal Sanchez,45.4,30.2,66.5,70.5,84.4,41.5,9.5,66.4,25.0,7.0,1461,94.2
Jake Arrieta,52.9,30.6,61.9,73.2,90.6,46.2,7.1,61.9,17.8,7.4,2153,138.1
Mike Clevinger,40.3,31.1,66.9,62.1,82.8,44.3,11.7,65.2,24.0,8.2,2547,157.2
Luis Severino,41.0,33.2,67.6,60.5,83.0,48.3,12.3,69.7,28.0,6.0,2595,159.1
Joe Musgrove,47.7,35.7,68.2,68.1,86.2,50.8,10.4,67.9,18.8,5.5,1213,87
CC Sabathia,45.0,32.5,66.9,62.0,88.1,41.1,10.5,59.2,20.5,7.9,1984,119.1
Noah Syndergaard,49.8,36.8,68.6,53.4,86.0,40.8,14.1,57.3,24.6,4.9,1704,106.2
Carlos Martinez,49.6,31.7,64.6,64.1,86.7,46.2,10.1,60.5,22.0,11.0,1685,100.1
Jaime Barria,40.3,32.7,67.9,64.4,84.0,39.9,11.3,55.2,18.8,6.7,1616,97.2
Eduardo Rodriguez,40.8,32.9,71.3,64.2,86.0,39.7,11.1,61.7,24.8,7.2,1869,104.2
Trevor Williams,39.6,30.2,66.7,72.1,91.2,42.4,7.4,59.9,16.0,8.0,2164,136
Brett Anderson,55.7,34.7,66.7,76.5,91.4,40.9,7.2,61.1,13.1,4.8,894,62.1
Jeremy Hellickson,46.2,32.2,63.5,73.1,86.7,45.0,8.6,67.9,17.9,5.3,1320,88.1
Carlos Carrasco,45.2,36.3,67.4,49.6,87.2,43.0,14.2,64.0,27.8,4.9,2262,146
Jameson Taillon,48.3,32.7,66.2,65.6,85.6,45.4,10.5,63.8,21.6,6.4,2263,146
Jhoulys Chacin,43.1,27.1,62.0,63.6,89.6,44.5,8.4,59.9,19.4,8.7,2371,151
Dallas Keuchel,53.8,33.0,67.0,71.3,89.2,38.6,8.6,61.2,17.5,6.0,2617,160.2
Alex Wood,47.8,36.0,68.4,64.9,88.9,39.2,10.6,69.1,21.1,6.0,2115,132.1
Zack Wheeler,43.8,34.4,68.6,66.4,83.9,43.1,11.4,63.2,24.0,7.7,2387,146.1
Kyle Gibson,48.0,32.9,68.7,58.0,88.4,35.1,11.8,58.2,22.4,9.8,2617,158.2
Brian Johnson,38.1,29.6,62.3,61.6,93.1,41.5,8.4,56.5,20.6,8.5,843,52
Jon Lester,37.4,26.9,67.4,69.1,87.5,41.5,8.4,57.7,18.9,8.6,2513,146
Garrett Richards,49.3,28.2,61.7,48.8,88.0,44.2,11.4,54.9,26.9,10.5,1313,76.1
James Paxton,39.4,34.9,70.5,57.4,82.0,48.8,13.8,65.6,31.4,6.6,2248,139.1
Jose Berrios,40.8,33.6,66.5,62.0,86.7,43.2,11.1,65.9,24.7,7.0,2484,158.2
Brad Keller,52.6,30.0,65.5,63.9,91.2,41.6,8.7,63.0,16.5,10.1,1252,78
David Price,40.8,31.5,68.8,69.2,86.4,44.2,9.6,61.7,24.3,7.0,2194,141.1
Sean Manaea,44.1,33.8,69.0,63.8,89.2,47.9,9.9,63.7,16.9,4.9,2304,155.2
Junior Guerra,42.4,29.0,70.1,62.1,86.8,43.6,10.2,63.5,21.7,9.1,2131,130.2
Sean Newcomb,45.1,28.7,67.8,69.5,84.2,40.7,9.5,54.2,21.7,11.3,2369,135
Frankie Montas,42.5,29.5,71.8,67.4,89.1,44.7,8.8,58.4,15.6,7.6,882,57.2
Rich Hill,37.3,28.9,64.4,72.8,84.0,48.9,9.1,63.7,25.1,8.6,1468,90.2
Tyler Skaggs,45.6,32.9,65.7,66.8,82.0,42.2,11.3,63.3,25.0,7.1,1999,116.2
Joey Lucchesi,47.6,26.2,61.2,58.7,86.2,45.5,9.7,59.0,25.2,8.7,1560,92.2
Nathan Eovaldi,45.4,34.3,74.2,71.5,86.6,50.7,9.9,66.6,20.1,3.5,1308,85
Derek Holland,38.3,28.7,68.5,67.1,84.4,45.6,10.0,62.9,22.7,8.9,2197,127.1
J.A. Happ,41.5,31.4,71.9,65.0,85.3,40.1,10.9,58.8,26.8,7.4,2386,138.1
Kenta Maeda,40.3,32.5,68.8,51.9,83.7,44.2,13.7,64.2,27.7,8.7,1763,107.2
Mike Leake,49.2,34.1,68.6,73.1,92.4,43.7,7.4,62.8,15.0,4.8,2284,154.2
Masahiro Tanaka,47.0,36.5,69.2,58.0,83.8,40.0,13.7,65.4,25.1,6.2,1849,120
Chase Anderson,34.7,30.2,69.3,72.2,85.0,42.0,9.2,63.6,20.0,9.1,2222,135.1
Lance McCullers Jr.,54.8,32.2,63.5,51.3,84.1,41.0,13.4,59.4,26.5,9.6,2083,126
Zach Eflin,39.1,30.3,69.1,65.6,86.1,46.3,10.0,64.9,22.1,5.7,1573,100.2
Tanner Roark,41.9,30.6,66.1,69.4,88.8,40.7,8.6,61.4,19.8,7.5,2487,153
Wade LeBlanc,37.3,34.2,63.2,71.9,85.9,40.3,9.4,62.2,19.5,5.4,1636,109
Kevin Gausman,47.6,33.6,69.6,65.7,85.7,43.3,10.8,57.3,18.9,6.0,2456,151
