GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
46.3,21.3,70.1,50.3,85.5,56.3,10.4,65.0,21.0,5.6,1923,127.1
56.0,24.6,59.4,70.5,92.2,45.1,6.0,56.7,15.1,8.1,3038,196.2
48.8,23.6,67.3,57.4,90.0,58.5,8.1,65.2,18.5,4.2,3255,220.2
44.9,29.8,67.0,55.4,82.5,49.3,12.5,64.9,28.3,6.7,2268,136
50.6,31.3,67.2,55.2,82.3,49.3,13.0,65.1,29.4,6.5,3082,193.1
48.7,21.4,68.7,56.0,79.8,53.2,11.7,63.0,24.8,9.0,3431,214.1
44.4,35.2,67.9,63.1,86.7,46.0,11.2,66.7,25.1,4.9,3372,217.1
55.8,19.8,71.8,46.4,86.8,55.3,9.9,59.0,15.5,6.3,3455,238.1
35.5,22.7,72.9,51.0,77.5,51.9,13.8,58.6,29.7,10.1,3134,196
34.5,30.8,69.1,70.7,86.3,50.5,9.3,66.0,17.6,6.7,3004,199
33.0,18.6,71.2,30.5,74.1,55.1,16.0,58.2,30.3,10.8,1842,108.1
50.2,33.4,66.5,62.9,85.6,46.2,11.1,65.5,23.0,4.9,3339,219.2
47.6,22.2,70.0,59.9,86.4,54.8,9.1,64.6,15.3,5.4,3155,222.1
46.2,25.8,72.0,46.7,84.7,55.8,12.2,63.8,17.8,4.4,3027,222.1
46.6,34.1,65.1,61.3,86.2,44.7,11.2,62.4,23.4,6.2,3604,237.1
45.1,28.5,66.2,67.3,90.8,49.0,7.7,60.2,18.2,5.5,1720,111
51.5,30.0,63.9,59.2,86.4,44.0,10.7,59.8,26.1,7.7,2851,183
54.4,25.7,63.0,68.2,87.0,46.9,8.2,60.8,20.4,8.0,2919,192
43.7,28.4,61.3,57.1,81.4,44.9,11.8,63.2,29.5,10.4,2248,132
50.6,31.6,62.1,73.7,87.4,42.6,8.1,59.0,19.7,6.3,3070,192
54.5,32.5,65.1,61.8,87.1,45.3,10.5,63.2,24.4,8.3,2844,179.2
39.3,27.7,59.8,76.8,92.8,45.3,5.5,61.5,21.5,8.3,2166,131.2
61.8,24.7,62.0,47.2,90.6,53.7,9.1,62.4,19.9,7.4,3437,236.1
36.0,32.6,62.6,67.9,79.7,46.1,11.5,62.4,25.8,6.0,3713,224.1
47.2,19.9,71.7,47.6,82.4,60.4,11.8,66.4,21.8,6.5,3428,233
44.7,27.7,63.0,54.7,90.9,51.5,9.0,65.7,19.3,5.6,3396,224
50.5,33.9,63.7,52.8,86.5,37.7,13.2,58.4,24.5,9.5,2496,161
44.9,25.8,62.6,58.6,87.1,51.2,9.2,61.6,22.7,7.4,3367,205.2
47.7,30.9,69.3,68.2,87.4,48.2,9.2,60.7,19.9,8.5,3247,205.1
44.2,29.4,73.1,70.5,87.1,39.8,8.9,56.5,22.2,9.1,3053,175.1
50.1,31.7,57.1,72.4,86.6,41.8,8.3,63.2,21.6,7.0,2276,139.2
48.7,23.3,67.8,66.5,88.3,53.8,7.8,63.6,15.6,8.4,3227,208
48.7,13.8,68.7,52.2,89.0,56.9,7.1,58.9,12.6,6.7,2700,178
50.4,27.3,62.4,62.7,89.2,46.4,8.5,60.2,17.3,8.8,2977,192.2
51.4,33.1,62.9,57.2,89.2,43.7,10.9,62.0,26.3,5.6,3175,204.1
45.6,30.1,69.7,63.8,84.9,47.0,10.7,63.9,23.7,6.0,2353,148
56.4,30.1,64.7,64.6,87.7,47.4,9.4,62.3,21.5,8.7,3028,195.1
47.2,21.5,70.6,44.8,79.7,53.1,13.1,62.4,25.3,9.3,2295,142
33.7,34.3,69.6,64.7,82.8,44.5,12.0,64.2,28.1,6.3,3668,227.2
41.2,30.0,67.0,60.5,85.5,43.8,10.9,63.0,22.8,4.4,2101,136
43.2,29.9,66.6,54.0,82.7,42.2,12.8,56.4,30.3,8.8,1875,109.1
44.9,32.8,59.5,63.9,84.8,46.9,10.5,57.0,24.9,6.6,3019,192
47.9,27.5,66.5,66.1,89.2,46.6,8.3,61.4,15.0,6.6,2543,165.1
43.4,34.7,68.0,62.8,80.6,43.5,13.0,63.0,24.9,6.0,3316,215.1
36.3,30.0,62.4,54.7,87.7,45.1,10.9,61.8,30.1,8.1,2312,144.1
43.7,34.6,62.1,66.4,83.5,38.3,11.1,66.4,25.5,4.9,2528,162
64.3,27.5,67.7,59.5,90.6,50.0,8.7,57.7,15.6,6.9,3137,215
47.9,27.1,68.5,43.2,88.6,56.0,11.0,65.7,18.2,5.7,3298,229.2
49.1,32.9,69.1,68.6,84.7,43.2,10.4,61.1,20.4,6.5,2473,159
45.4,29.4,67.9,55.4,83.6,48.7,12.1,58.9,24.7,7.1,3368,208.2
38.4,28.6,68.0,69.4,85.6,47.3,9.2,62.3,23.4,7.9,2968,173.1
48.9,33.8,64.6,60.1,88.7,43.5,10.8,62.7,23.8,6.0,3420,232
25.5,30.1,65.2,65.9,87.2,43.5,9.4,58.0,16.6,8.6,1986,123.1
48.2,36.5,68.8,66.0,87.3,41.8,10.9,64.5,20.5,4.5,2935,199.2
46.6,31.7,60.1,63.0,82.9,46.9,11.0,63.3,26.1,5.3,3248,214.1
28.2,22.2,70.4,44.5,81.9,53.8,12.6,62.9,26.2,7.3,2495,158.1
44.4,25.8,64.2,52.8,88.3,50.9,9.8,58.6,20.5,5.9,3635,222.2
